Empresa;Família;Modelo;OPC;Chassi;Placa;Veículo;Estado Placa;Ano;Cor;NF Número;Valor Compra;Custo Operacional;Preço Público/Venda;Custo Valor Compra;NF Compra;Empresa Compra;Valor Agregado;KM;Opcionais;Data Chegada;Dias Estoque;Data Emissão;Situação;Valor Escrito;Valor Escrito2;Valor Escrito3;Combustível;Avaliação Usado;Em Trânsito;Pago;Data Pagamento;Estoque;Flag Proposta;Flag Pedido;Flag Bloqueio;Flag Reserva;NTI Valor;Tipo Faturamento;Valores Agregados;Pis/Fin;ICMS Valor Venda;Valor HoldBack;Nr. Renavam;Promoção;Custo Venda;Localização;Floor;Tipo Transmissão
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB117305;;111383;;2026/2027;VERMELHO SCARLET;        3049355;98930,55;0,00;119990,00;98930,55;   170521;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB117343;;111386;;2026/2027;VERMELHO SCARLET;        3049356;98930,55;0,00;119990,00;98930,55;   170522;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB117340;;111385;;2026/2027;VERMELHO SCARLET;        3049357;98930,55;0,00;119990,00;98930,55;   170523;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB117321;;111384;;2026/2027;VERMELHO SCARLET;        3049358;98930,55;0,00;119990,00;98930,55;   170524;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;2;24/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 AT R8E;R8E;9BGEX76D0VB121568;;111507;;2026/2027;PRETO OURO NEGRO;        3049853;98930,55;0,00;119990,00;98930,55;   171503;PEDRAGON MANAUS;494,65;1;(693) UE1, (745) R8E;  /  /     ;1;25/06/2026 00:00;;;PEDRAGON MANAUS;149038     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0,00;0,00;0,00;149038     ;0,00;99425,20;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW SPIN;NW SPIN PREM AT R6S;R6S;9BGJP7520VB116900;;110224;;2026/2027;CINZA AMBAR;        3044488;134830,61;0,00;165590,00;134830,61;   162307;PEDRAGON MANAUS;2022,46;1;(690) PDB, (693) UE1, (753) R6S;  /  /     ;14;12/06/2026 00:00;;;PEDRAGON MANAUS;104678     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;104678     ;0,00;136853,07;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW SPIN;NW SPIN LTZ 7 AT R6R;R6R;9BGJC7520VB115893;;109997;;2026/2027;BRANCO SUMMIT;        3043339;127221,28;0,00;157990,00;127221,28;   159184;PEDRAGON MANAUS;1908,32;1;(693) UE1, (754) R6R;  /  /     ;17;09/06/2026 00:00;;;PEDRAGON MANAUS;104647     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;104647     ;0,00;129129,60;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW SPIN;NW SPIN LTZ 7 AT R6R;R6R;9BGJC7520VB104250;;108131;;2026/2027;PRATA SHARK;        3035754;128710,76;0,00;157990,00;128710,76;   140446;PEDRAGON MANAUS;1930,66;1;(690) PDB, (693) UE1, (754) R6R;  /  /     ;42;15/05/2026 00:00;;BRENDA ;PEDRAGON MANAUS;104647     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;FLOOR PLAN - GM;HOLD BACK (GM);0,00;0,00;0,00;104647     ;0,00;130641,42;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW SONIC;"NW SONIC RS RGD
";"RGD
";9BGED58D0VG104266;        ;108962;;2026/2027;PRETO OURO NEGRO;        4773053;110694,56;0,00;140990,00;110694,56;   148620;PEDRAGON MANAUS;1660,42;1;(693) UE1, (768) RGD;  /  /     ;31;26/05/2026 00:00;;;PEDRAGON MANAUS;102132;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;102132;0,00;112354,98;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW SONIC;"NW SONIC RS RGD
";"RGD
";9BGED58D0VG104293;        ;108963;;2026/2027;PRETO OURO NEGRO;        4773056;110694,56;0,00;140990,00;110694,56;   148621;PEDRAGON MANAUS;1660,42;1;(693) UE1, (768) RGD;  /  /     ;31;26/05/2026 00:00;;;PEDRAGON MANAUS;102132;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;102132;0,00;112354,98;PEDRAGON MANAUS;0,00;AUTOMÁTICO
